Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,
"'hermes'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/23/33/35/15233335_40512009_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"'hermes'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/23/33/35/15233335_40513797_2048.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"'hermes'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/23/33/35/15233335_40514094_2048.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"'hermes'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/23/33/35/15233335_40514095_2048.jpg,5,,,,,,,,,,,,,,,,,,,g,,,,
"'hermes'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/23/33/35/15233335_40513800_2048.jpg,6,,,,,,,,,,,,,,,,,,,g,,,,
"'hermes'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/23/33/35/15233335_40513801_2048.jpg,7,,,,,,,,,,,,,,,,,,,g,,,,
"'hermes'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/23/33/35/15233335_40513804_2048.jpg,8,,,,,,,,,,,,,,,,,,,g,,,,
"'hermes'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/23/33/35/15233335_40513806_2048.jpg,9,,,,,,,,,,,,,,,,,,,g,,,,
"'hermes'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/23/33/35/15233335_40513809_2048.jpg,10,,,,,,,,,,,,,,,,,,,g,,,,
"'hermes'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/23/33/35/15233335_40512010_2048.jpg,11,,,,,,,,,,,,,,,,,,,g,,,,
"'ysl'","'YSL'","'Eliminating the need for lip pencil, YSL presents the Rouge Pur Couture The Slim, its first square-shaped lipstick for ultra-precise application. One swipe of the innovative bullet offers an intense wash of colour, delivering a long-lasting matte finish. Shaping the lip with a comfortable, creamy formula, pick your perfect shade from a couture-inspired palette for every skin tone.'",Eslam Hosny M.,,"Rouge Pur Couture The Slim Matte Lipstick","Beauty, Make-Up, Lips, Lipsticks",TRUE,https://www.harrods.com/en-bd/shopping/ysl-rouge-pur-couture-the-slim-matte-lipstick-15327868,Color,No Colour Available,Size,'OS',,,,,,,deny,manual,'16',,TRUE,TRUE,,https://image.harrods.com/15/32/78/68/15327868_26686821_2048.jpg,1,,FALSE,,,,,,,"Rouge Pur Couture The Slim Matte Lipstick",,,FALSE,,,,,,https://image.harrods.com/15/32/78/68/15327868_26686821_2048.jpg,g,,,active,
"'ysl'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/32/78/68/15327868_26686824_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
